dteday,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt
2011-01-01,0,1,0,0,6,0,1,3.28,81.0,0.0,16
2011-01-01,0,1,1,0,6,0,1,2.34,80.0,0.0,40
2011-01-01,0,1,2,0,6,0,1,2.34,80.0,0.0,32
2011-01-01,0,1,3,0,6,0,1,3.28,75.0,0.0,13
2011-01-01,0,1,4,0,6,0,1,3.28,75.0,0.0,1
2011-01-01,0,1,5,0,6,0,2,3.28,75.0,6.0032,1
2011-01-01,0,1,6,0,6,0,1,2.34,80.0,0.0,2
2011-01-01,0,1,7,0,6,0,1,1.4000000000000004,86.0,0.0,3
2011-01-01,0,1,8,0,6,0,1,3.28,75.0,0.0,8
2011-01-01,0,1,9,0,6,0,1,7.040000000000001,76.0,0.0,14
2011-01-01,0,1,10,0,6,0,1,9.86,76.0,16.997899999999998,36
2011-01-01,0,1,11,0,6,0,1,8.919999999999998,81.0,19.0012,56
2011-01-01,0,1,12,0,6,0,1,11.739999999999998,77.0,19.0012,84
2011-01-01,0,1,13,0,6,0,2,13.62,72.0,19.9995,94
2011-01-01,0,1,14,0,6,0,2,13.62,72.0,19.0012,106
2011-01-01,0,1,15,0,6,0,2,12.68,77.0,19.9995,110
2011-01-01,0,1,16,0,6,0,2,11.739999999999998,82.0,19.9995,93
2011-01-01,0,1,17,0,6,0,2,12.68,82.0,19.0012,67
2011-01-01,0,1,18,0,6,0,3,11.739999999999998,88.0,16.997899999999998,35
2011-01-01,0,1,19,0,6,0,3,11.739999999999998,88.0,16.997899999999998,37
2011-01-01,0,1,20,0,6,0,2,10.8,87.0,16.997899999999998,36
2011-01-01,0,1,21,0,6,0,2,10.8,87.0,12.998,34
2011-01-01,0,1,22,0,6,0,2,10.8,94.0,15.0013,28
2011-01-01,0,1,23,0,6,0,2,13.62,88.0,19.9995,39
2011-01-02,0,1,0,0,0,0,2,13.62,88.0,19.9995,17
2011-01-02,0,1,1,0,0,0,2,12.68,94.0,16.997899999999998,17
2011-01-02,0,1,2,0,0,0,2,11.739999999999998,100.0,19.0012,9
2011-01-02,0,1,3,0,0,0,2,13.62,94.0,12.998,6
2011-01-02,0,1,4,0,0,0,2,13.62,94.0,12.998,3
2011-01-02,0,1,6,0,0,0,3,11.739999999999998,77.0,19.9995,2
2011-01-02,0,1,7,0,0,0,2,10.8,76.0,12.998,1
2011-01-02,0,1,8,0,0,0,3,10.8,71.0,15.0013,8
2011-01-02,0,1,9,0,0,0,2,9.86,76.0,15.0013,20
2011-01-02,0,1,10,0,0,0,2,8.919999999999998,81.0,15.0013,53
2011-01-02,0,1,11,0,0,0,2,8.919999999999998,71.0,16.997899999999998,70
2011-01-02,0,1,12,0,0,0,2,8.919999999999998,66.0,19.9995,93
2011-01-02,0,1,13,0,0,0,2,8.919999999999998,66.0,8.9981,75
2011-01-02,0,1,14,0,0,0,3,8.919999999999998,76.0,12.998,59
2011-01-02,0,1,15,0,0,0,3,7.98,81.0,11.0014,74
2011-01-02,0,1,16,0,0,0,3,7.98,71.0,11.0014,76
2011-01-02,0,1,17,0,0,0,1,7.98,56.99999999999999,12.998,65
2011-01-02,0,1,18,0,0,0,2,8.919999999999998,46.0,22.0028,53
2011-01-02,0,1,19,0,0,0,1,7.040000000000001,42.0,30.0026,30
2011-01-02,0,1,20,0,0,0,1,6.1,39.0,23.9994,22
2011-01-02,0,1,21,0,0,0,1,4.2200000000000015,44.0,22.0028,31
2011-01-02,0,1,22,0,0,0,1,3.28,44.0,19.9995,9
2011-01-02,0,1,23,0,0,0,1,2.34,47.0,11.0014,8
2011-01-03,0,1,0,0,1,1,1,2.34,44.0,23.9994,5
2011-01-03,0,1,1,0,1,1,1,1.4000000000000004,44.0,27.9993,2
2011-01-03,0,1,4,0,1,1,1,-0.4799999999999995,47.0,26.0027,1
2011-01-03,0,1,5,0,1,1,1,-0.4799999999999995,47.0,19.0012,3
2011-01-03,0,1,6,0,1,1,1,-1.419999999999999,50.0,26.0027,30
2011-01-03,0,1,7,0,1,1,1,-1.419999999999999,50.0,12.998,64
2011-01-03,0,1,8,0,1,1,1,-1.419999999999999,50.0,19.0012,154
2011-01-03,0,1,9,0,1,1,1,-0.4799999999999995,43.0,26.0027,88
2011-01-03,0,1,10,0,1,1,1,0.4599999999999991,43.0,16.997899999999998,44
2011-01-03,0,1,11,0,1,1,1,1.4000000000000004,40.0,22.0028,51
2011-01-03,0,1,12,0,1,1,1,2.34,35.0,19.9995,61
2011-01-03,0,1,13,0,1,1,1,3.28,35.0,19.0012,61
2011-01-03,0,1,14,0,1,1,1,4.2200000000000015,30.0,19.0012,77
2011-01-03,0,1,15,0,1,1,1,4.2200000000000015,30.0,16.997899999999998,72
2011-01-03,0,1,16,0,1,1,1,4.2200000000000015,30.0,16.997899999999998,76
2011-01-03,0,1,17,0,1,1,1,3.28,30.0,15.0013,157
2011-01-03,0,1,18,0,1,1,1,3.28,32.0,7.0015,157
2011-01-03,0,1,19,0,1,1,1,1.4000000000000004,47.0,0.0,110
2011-01-03,0,1,20,0,1,1,1,1.4000000000000004,47.0,7.0015,52
2011-01-03,0,1,21,0,1,1,1,0.4599999999999991,64.0,8.9981,52
2011-01-03,0,1,22,0,1,1,1,-1.419999999999999,69.0,8.9981,20
2011-01-03,0,1,23,0,1,1,1,0.4599999999999991,55.00000000000001,7.0015,12
2011-01-04,0,1,0,0,2,1,1,-0.4799999999999995,55.00000000000001,7.0015,5
2011-01-04,0,1,1,0,2,1,1,-0.4799999999999995,59.0,7.0015,2
2011-01-04,0,1,2,0,2,1,1,-1.419999999999999,63.0,8.9981,1
2011-01-04,0,1,4,0,2,1,1,-1.419999999999999,63.0,6.0032,2
2011-01-04,0,1,5,0,2,1,1,-2.3600000000000003,68.0,7.0015,4
2011-01-04,0,1,6,0,2,1,1,-2.3600000000000003,74.0,7.0015,36
2011-01-04,0,1,7,0,2,1,1,-2.3600000000000003,74.0,8.9981,94
2011-01-04,0,1,8,0,2,1,1,-1.419999999999999,69.0,11.0014,179
2011-01-04,0,1,9,0,2,1,1,-0.4799999999999995,64.0,15.0013,100
2011-01-04,0,1,10,0,2,1,2,-0.4799999999999995,69.0,22.0028,42
2011-01-04,0,1,11,0,2,1,1,2.34,51.0,19.9995,57
2011-01-04,0,1,12,0,2,1,1,2.34,51.0,11.0014,78
2011-01-04,0,1,13,0,2,1,1,3.28,56.00000000000001,12.998,97
2011-01-04,0,1,14,0,2,1,1,4.2200000000000015,52.0,15.0013,63
2011-01-04,0,1,15,0,2,1,1,5.160000000000002,52.0,16.997899999999998,65
2011-01-04,0,1,16,0,2,1,1,6.1,49.0,16.997899999999998,83
2011-01-04,0,1,17,0,2,1,1,5.160000000000002,48.0,15.0013,212
2011-01-04,0,1,18,0,2,1,1,4.2200000000000015,48.0,12.998,182
2011-01-04,0,1,19,0,2,1,1,3.28,48.0,7.0015,112
2011-01-04,0,1,20,0,2,1,1,3.28,48.0,7.0015,54
2011-01-04,0,1,21,0,2,1,1,2.34,64.0,0.0,48
2011-01-04,0,1,22,0,2,1,1,2.34,64.0,6.0032,35
2011-01-04,0,1,23,0,2,1,1,1.4000000000000004,69.0,6.0032,11
2011-01-05,0,1,0,0,3,1,1,1.4000000000000004,64.0,0.0,6
2011-01-05,0,1,1,0,3,1,1,-0.4799999999999995,74.0,6.0032,6
2011-01-05,0,1,2,0,3,1,1,-0.4799999999999995,74.0,6.0032,2
2011-01-05,0,1,4,0,3,1,1,3.28,48.0,15.0013,2
2011-01-05,0,1,5,0,3,1,1,2.34,47.0,11.0014,3
2011-01-05,0,1,6,0,3,1,1,1.4000000000000004,47.0,15.0013,33
2011-01-05,0,1,7,0,3,1,1,0.4599999999999991,43.0,12.998,88
2011-01-05,0,1,8,0,3,1,1,1.4000000000000004,40.0,19.9995,195
2011-01-05,0,1,9,0,3,1,1,2.34,37.0,22.0028,115
2011-01-05,0,1,10,0,3,1,1,2.34,37.0,22.0028,57
2011-01-05,0,1,11,0,3,1,1,4.2200000000000015,33.0,22.0028,46
2011-01-05,0,1,12,0,3,1,1,4.2200000000000015,33.0,22.0028,79
2011-01-05,0,1,13,0,3,1,1,5.160000000000002,30.0,19.9995,71
2011-01-05,0,1,14,0,3,1,1,6.1,28.000000000000004,12.998,62
2011-01-05,0,1,15,0,3,1,1,6.1,28.000000000000004,12.998,62
2011-01-05,0,1,16,0,3,1,1,6.1,28.000000000000004,6.0032,89
